"DEPTID","OrganisationID","UMDeptName"
"10055","CTQQGHAPAXX","OIT Infra & Production Admin"
"10056","CTQQGHAPAXX","OIT Proactive Support"
"10057","CTQQGHAPAXX","OIT Application Management"
"10058","CTQQGHAPAXX",
"10059","CTQQGHAPAXX","OIT 24x7 Operations"
"10060","CTQQGHAPAXX","OIT Data Center & Facilities"
"10061","CTQQGHAPAXX","OIT Microsoft Platform & Tools"
"10062","CTQQGHAPAXX","OIT Linux Platform & Tools"
"10063","CTQQGHAPAXX","OIT Server & Storage"
"10064","CTQQGHAPAXX","OIT Application Devel Admin"
"10065","CTQQGHAPAXX","OIT PeopleSoft Solutions"
"10066","CTQQGHAPAXX","OIT Package & Custom Solutions"
"10068","CTQQGHAPAXX","OIT Service Quality"
"10071","CTQQGHAPAXX","OIT Service Desk"
"10072","CTQQGHAPAXX","OIT Database Administration"
"10073","CTQQGHAPAXX","OIT Field Implement & Repair"
"10074","CTQQGHAPAXX","OIT Network & Design"
"10083","UXFTBZXLZ","Teaching&Learning, Ctr for"
"10092","UXFTBZXLZ","Equity & Diversity Admin"
"10093","UXFTBZXLZ","Equal Opp & Affirm Action"
"10094","UXFTBZXLZ","Gay Lesbian Bisexual Transgend"
"10095","UXFTBZXLZ","Multicultural Ctr Acad Excell"
"10096","UXFTBZXLZ","Women's Center"
"10097","UXFTBZXLZ","DRC Disability Resource Center"
"10098","UXFTBZXLZ","DRC U Return Services"
"10099","MZQTJWDSIA","President, Office of the"
"10100","MZQTJWDSIA","Inst Compliance, Ofc of"
"10101","MZQTJWDSIA","University Senate"
"10103","UXFTBZXLZ","Exec VP and Provost, Ofc of"
"10104","UXFTBZXLZ","Fac&Acad Affairs, Vice Provost"
"10105","UXFTBZXLZ","Educational Innovation"
"10106","UXFTBZXLZ","Weisman Art Museum"
"10107","CCJBJYTIQ","Environment, Institute on the"
"10108","UXFTBZXLZ","Student Affairs Administration"
"10109","UXFTBZXLZ","LEAD-UP"
"10110","UXFTBZXLZ","Career & Internship Services"
"10111","UXFTBZXLZ","Parent and Family Program"
"10112","UXFTBZXLZ","Student Parent Help Center"
"10113","UXFTBZXLZ","Student Counseling Services"
"10114","UXFTBZXLZ","Aurora Center"
"10115","UXFTBZXLZ","Student Conduct/Acad Integrity"
"10116","UXFTBZXLZ","Student Legal Service"
"10117","UXFTBZXLZ","Student Conflict Resolution"
"10118","UXFTBZXLZ","SUA Administration"
"10119","UXFTBZXLZ","SUA Retail"
"10120","UXFTBZXLZ","SUA Facilities & Operations"
"10121","UXFTBZXLZ","SUA Marketing & Design"
"10122","UXFTBZXLZ","SUA Programs & Activities"
"10123","UXFTBZXLZ","SUA Student Group Services"
"10136","UXFTBZXLZ","Recreational Sports Gen Admin"
"10137","UXFTBZXLZ","DRS Climbing/Adventure"
"10138","UXFTBZXLZ","DRS Fitness"
"10139","UXFTBZXLZ","DRS Intramural/Lifetime Sports"
"10140","UXFTBZXLZ","DRS Sports Clubs Admin"
"10141","UXFTBZXLZ","DRS Youth/Community"
"10142","UXFTBZXLZ","URW Facility Support"
"10143","UXFTBZXLZ","DRS Advancement & Marketing"
"10144","UXFTBZXLZ","DRS Minneapolis Facilities"
"10145","UXFTBZXLZ","DRS St. Paul Facilities"
"10146","UXFTBZXLZ","DRS Aquatic Events/Programs"
"10147","UXFTBZXLZ","DRS Twin Cities Swim Team"
"10148","UXFTBZXLZ","Undergrad Ed, V Provost&Dean"
"10149","UXFTBZXLZ","Undergrad Research Opp Program"
"10150","QRRZWIZ","University Honors Program"
"10151","UXFTBZXLZ","Orientation & 1st Yr Programs"
"10152","UXFTBZXLZ","Acad Suppt Resource Adm"
"10154","TUEDADMIN","ASR Information Technology"
"10155","UXFTBZXLZ","ASR Student Academic Records"
"10157","TUEDADMIN","ASR Clsrm Mgmt Operations"
"10159","UXFTBZXLZ","Freshman Recruitment & Adm"
"10162","TUEDADMIN","Admissn Admin & Support Serv"
"10166","UXFTBZXLZ","McNamara Academic Center"
"10167","PGHAGJG","System Acad Admin, Sr VP Ofc"
"10168","UXFTBZXLZ","Conflict Resolution, Ofc for"
"10170","EVKNJMJMKY","Enterprise Data Mgmt/Reporting"
"10172","EVKNJMJMKY","Institutional Research"
"10173","EVKNJMJMKY","Measurement Services, Ofc of"
"10174","XFONYPYD",
"10175","PGHAGJG","Urban Research Outreach/Engage"
"10176","PGHAGJG","Public Engagement, Office for"
"10177","UXFTBZXLZ","Business & Comm Econ Dev"
"10179","UXFTBZXLZ","Urban & Regional Affairs, Ctr"
"10181","GCQCSMZBQ","Transportation Studies, Ctr"
"10182","BNYHQ","Children, Youth & Family Cons"
"10183","GSYKETJXD","Global Change, Interdisc Ctr"
"10184","UXFTBZXLZ",
"10229","UXFTBZXLZ","Bolstad Golf Course"
"10233","MZQTJWDSIA","Government Relations"
"10293","DOSNCACFESQ","FM Waste Services"
"10310","DOSNCACFESQ","Emergency Management, Dept of"
"10713","LHESJVSSCMVNQ","The Hormel Institute"
"10714","VOYAHFEUA","VP for Research, Office of"
"10715","VOYAHFEUA","VPR Assoc/Finance & HR"
"10716","VOYAHFEUA","VPR Chief of Staff"
"10717","FRFZJSBPRW","Technology Commercialization"
"10718","VOYAHFEUA","Univ Economic Development"
"10719","VOYAHFEUA","Assoc VP Res - FIRST, Intd"
"10721","VOYAHFEUA","Research Education & Oversight"
"10722","GGSPRJQAKGVXYX","Sponsored Projects Admin"
"10723","VOYAHFEUA","University of Minnesota Press"
"10724","BVHJTZUHHWSA","GRAD Dean's Office Admin"
"10727","BVHJTZUHHWSA","GRAD Mgmt Information Services"
"10729","BVHJTZUHHWSA",
"10730","UXFTBZXLZ","Graduate Diversity Office"
"10731","BVHJTZUHHWSA","GRAD Fellowship Office"
"10732","BVHJTZUHHWSA","GRAD Admissions Office"
"10733","BVHJTZUHHWSA",
"10735","BVHJTZUHHWSA",
"10736","QASSVEKAFRN","HHH Dean's Office"
"10737","QASSVEKAFRN","HHH Financial Services"
"10738","QASSVEKAFRN","HHH Human Resources"
"10739","QASSVEKAFRN","HHH Development"
"10740","QASSVEKAFRN","HHH Communications"
"10741","QASSVEKAFRN","HHH Information Technology"
"10742","QASSVEKAFRN","HHH Career Services"
"10743","QASSVEKAFRN","HHH Recruiting & Admissions"
"10744","QASSVEKAFRN","HHH Student Services"
"10745","QASSVEKAFRN","HHH Conference Center"
"10746","QASSVEKAFRN","HHH College Support Services"
"10747","VFCQNAX","HHH Politics & Govern Acad Pro"
"10748","FVZAEMR","Study of Politics, Center for"
"10749","FVZAEMR",
"10751","VFCQNAX","HHH Social Policy Academic Pro"
"10752","KJTMZNYBTP","Women and Public Policy"
"10753","FVZAEMR","Human Capital Rsrch Collabortv"
"10754","FVZAEMR","Roy Wilkins Center"
"10755","VFCQNAX","HHH Regional Plan & Pol Acad P"
"10756","VFCQNAX","State & Local Policy Program"
"10757","VFCQNAX","HHH Global Policy Acad Prog"
"10758","FVZAEMR",
"10759","VFCQNAX","International Fellows Program"
"10760","VFCQNAX","HHH Sci, Tech & Env Acad Prog"
"10761","FVZAEMR","Science & Technology, Ctr"
"10762","VFCQNAX","HHH Leadership & Mgmt Acad Pro"
"10763","FVZAEMR","Public & Nonprofit Ldrshp Ctr"
"10764","ZNVNNMA","AES Administration Operations"
"10766","UXFTBZXLZ","AES Rapid Agricultural Rsrch"
"10770","ZNVNNMA","AES Greenhouses"
"10773","ZNVNNMA","AES Ag Services"
"10774","BNYHQ","RSDP - Statewide"
"10775","BNYHQ","RSDP - Central Lakes"
"10776","BNYHQ","RSDP - Northwest"
"10777","BNYHQ","RSDP - Northeast"
"10778","BNYHQ","RSDP - Southeast"
"10779","BNYHQ","RSDP - Southwest"
"10780","JLEBTF","Law School Deans Office"
"10781","JLEBTF","Law School Building Management"
"10782","JLEBTF","Law School Student Services"
"10783","JLEBTF","Law School Advancement"
"10784","JLEBTF","Law School Public Relations"
"10785","JLEBTF","Law School IT Services"
"10786","JLEBTF","Law Scholarly Jrnls & Pblctns"
"10787","JLEBTF","Law School Human Resources"
"10788","JLEBTF","Law School Finance"
"10789","JLEBTF","Law School Scholarship"
"10790","JLEBTF","Law School Admissions"
"10791","JLEBTF","Law School Career Services"
"10792","JLEBTF","Law School International Prog"
"10793","HDIJMJSXNBPGXF","Law Library"
"10794","PMMJCZLY","Law Computr Asst Legal Instrct"
"10796","PMMJCZLY",
"10797","NGEJGHHFOVYKQ","Law School Human Rights Inst"
"10798","PMMJCZLY","Law S Crime & Pub Pol, Ctr for"
"10799","PMMJCZLY","Law School Kommerstad Center"
"10801","NGEJGHHFOVYKQ","Law School Metro Opport Inst"
"10802","NGEJGHHFOVYKQ","Law School Intell Prop Inst"
"10806","PMMJCZLY","Law School General Academic"
"10807","JLEBTF","Law Clinic"
"10808","PMMJCZLY","Law School Legal Writing Prog"
"10809","PMMJCZLY","Law School Moot Court"
"10811","PMMJCZLY","Law Schl Joint Degree Program"
"10812","GIUBTPAGWFO","DESIGN Dean's Office/Admin"
"10813","GIUBTPAGWFO","DESIGN Budget & Finance"
"10814","GIUBTPAGWFO","DESIGN Development"
"10815","GIUBTPAGWFO","DESIGN Information Technology"
"10816","GIUBTPAGWFO","DESIGN Human Resources"
"10817","GIUBTPAGWFO","DESIGN Alumni/Continuing Educ"
"10818","GIUBTPAGWFO","DESIGN External Relations"
"10819","GIUBTPAGWFO","DESIGN Imaging Lab"
"10820","GIUBTPAGWFO",
"10821","GIUBTPAGWFO","DESIGN WI Hall Workshop"
"10822","GIUBTPAGWFO","DESIGN Student Svc Operations"
"10827","YHPLWXA","Architecture, School of"
"10828","TXOIVOFZPSSUUOA","Landscape Architecture, Dpt of"
"10829","DBOCH","Design Housing & Apparel Admin"
"10830","DBOCH","DHA Graphic  Design"
"10831","DBOCH","DHA Apparel Design"
"10832","DBOCH","DHA Retail Merchandising"
"10833","DBOCH","DHA Housing Studies"
"10834","DBOCH","DHA Interior Design"
"10835","DBOCH","DHA MW Universities Radon Cons"
"10837","DBOCH",
"10839","ZODVDLXZLHA","DESGN Changing Landscapes"
"10840","ZODVDLXZLHA","DESGN Design Institute"
"10841","ZODVDLXZLHA","DESGN Sustainable Bldg Rsrch"
"10842","ZODVDLXZLHA","DESGN Metropolitan Design"
"10843","ZODVDLXZLHA","DESGN Goldstein Museum"
"10844","ZODVDLXZLHA",
"10845","NZAKEGWA","CBS Dean's Office Admin"
"10846","NZAKEGWA","CBS Communications"
"10847","NZAKEGWA","CBS Computing Services"
"10848","NZAKEGWA","CBS Development"
"10849","NZAKEGWA","CBS Finance & Accounting"
"10850","NZAKEGWA","CBS Human Resources"
"10851","WAPFGIRLHQ","CBS Instructional Lab"
"10852","NZAKEGWA","CBS Electronic Instrumentation"
"10853","NZAKEGWA","CBS Imaging Center"
"10854","ITASCA","CBS Itasca Biological Station"
"10857","NZAKEGWA","CBS Student Services"
"10858","PQXWQORJA","CBS BMBB Dept"
"10859","PQXWQORJA","CBS Molecular Biology"
"10860","PQXWQORJA","CBS Microbial Bio & Biotech"
"10861","PQXWQORJA","CBS Structural Biol/Bioph Dept"
"10863","PQXWQORJA",
"10864","PQXWQORJA","CBS Regulatory Biochem Dept"
"10865","PQXWQORJA","CBS Mass Spectrometry Protemic"
"10866","FJUSTIWTXRFFIMZ","CBS Biotechnology Inst Admin"
"10867","FJUSTIWTXRFFIMZ","CBS Biotech Resource Center"
"10869","MWCELLHO","CBS Ecology, Evolution, Behavr"
"10870","NZAKEGWA","Cedar Creek Ecosystems Sci Res"
"10871","WAPFGIRLHQ",
"10872","WAPFGIRLHQ","CBS Biology Teaching/Learning"
"10873","MBJKFPNZNQ","CBS Gen Cell Bio & Dev Dept"
"10875","MBJKFPNZNQ","CBS Beckman Center"
"10876","RFCSTWA","CBS Plant Biology Department"
"10877","RFCSTWA",
"10878","ZZGBZWTLKBRH","CCE Dean's Office"
"10879","ZZGBZWTLKBRH","CCE Financial Mgmt/Payroll Svc"
"10880","ZZGBZWTLKBRH","CCE Development"
"10881","ZZGBZWTLKBRH","CCE Human Resources"
"10882","ZZGBZWTLKBRH","CCE Information Technology"
"10899","KPBOGPUJXQ",
"10900","KPBOGPUJXQ","Pro Dev-Conf Svcs & Prgm Plan"
"10901","KPBOGPUJXQ","Pro Dev - Open Enrollment"
"10902","KPBOGPUJXQ","Pro Dev - Contract Learning"
"10904","ZZGBZWTLKBRH","CCE DCP Administration"
"10905","KPBOGPUJXQ","CCE Undergrad Programs"
"10907","KPBOGPUJXQ","CCE Individualized Degrees"
"10908","KPBOGPUJXQ","CCE Applied Professional Studi"
"10910","KPBOGPUJXQ","CCE MN English as a Second Lan"
"10911","KPBOGPUJXQ","CCE Translation & Interpreting"
"10914","ZZGBZWTLKBRH","CCE Non-Admitted Std & Spec Cr"
"10915","KPBOGPUJXQ","CCE Online & Distance Learning"
"10916","ZZGBZWTLKBRH","CCE Online & Educational Svcs"
"10917","KPBOGPUJXQ","CCE Advanced High School"
"10918","YZBVCIGRQ","CCE College in the Schools"
"10919","ZZGBZWTLKBRH","CCE Academic Advising"
"10920","ZZGBZWTLKBRH","CCE Student Services"
"10921","KPBOGPUJXQ","CCE Graduate Programs Instruct"
"10922","ZZGBZWTLKBRH","Radio K"
"10923","ZZGBZWTLKBRH","Osher Lifelong Learning Inst"
"10925","HBBQGIFMSWBDJA","CLA Dean's Office"
"10926","HBBQGIFMSWBDJA","CLA Faculty & Academic Affairs"
"10927","HBBQGIFMSWBDJA","CLA Fiscal Administration"
"10928","HBBQGIFMSWBDJA",
"10929","HBBQGIFMSWBDJA","CLA Financial Services Teams"
"10930","HBBQGIFMSWBDJA","CLA Human Resources"
"10932","HBBQGIFMSWBDJA","CLA Undergraduate Education"
"10935","HBBQGIFMSWBDJA","CLA Language Center"
"10936","HBBQGIFMSWBDJA","CLA Student Support Services"
"10938","HBBQGIFMSWBDJA","Martin Luther King Jr Program"
"10939","HBBQGIFMSWBDJA","CLA Advising"
"10940","HBBQGIFMSWBDJA","Community & Career Learnng Ctr"
"10941","HBBQGIFMSWBDJA","CLA OIA Development"
"10942","HBBQGIFMSWBDJA","CLA OIA Communications"
"10945","HBBQGIFMSWBDJA","LibArt Tech Innov Svcs"
"10946","HBBQGIFMSWBDJA",
"10947","PEERXTGEUIQTQ","African-Amer & African Studies"
"10948","LNMQGWF","American Indian Studies"
"10949","YCNLNLPHHTA","American Studies"
"10950","CWWPWFJA","Anthropology"
"10951","HOEYVJK","Art Department"
"10952","HOEYVJK","Nash Gallery"
"10953","WFLVWFVDWXDVA","Art History"
"10954","TNGLXWMO","Asian Languages & Literature"
"10955","OQLZFPSVET","Chicano & Latino Studies"
"10956","FGRSWUISFXYQ","Classical & Near Eastern Stu"
"10958","IBKEOYUC","Communication Studies"
"10959","XJSTZJ","Cultural Studies & Comp Lit"
"10960","GIHCYTU","Economics"
"10961","JQGXAEFTH","Eng Languages & Literature"
"10962","OUVRQTX","French & Italian"
"10963","KBPTQSAEA","Gender, Women & Sexuality"
"10964","SWXNGXZO","Geography,Environment,Society"
"10965","SWXNGXZO","Masters of Geographic Info Sci"
"10967","KGAXVRQ","German Scandinavian & Dutch"
"10968","FFHMBZVUXKEG","History Department"
"10969","HBBQGIFMSWBDJA","Holocaust & Genocide, Ctr for"
"10970","FFHMBZVUXKEG",
"10971","BIDEQ","Global Studies Department"
"10972","BIDEQ","German & European Studies, Ctr"
"10973","BIDEQ","Modern Greek Studies"
"10974","BIDEQ","Human Rights Program"
"10975","NQMQTQBKRZLE","Linguistics, Institute of"
"10976","IWWMXCPKTA","Journalism & Mass Comm, School"
"10977","IWWMXCPKTA",
"10978","IWWMXCPKTA","MN Journalism Center"
"10979","IWWMXCPKTA","Silha Center"
"10980","GXEWTPNHDAQ","Music, School of"
"10981","GXEWTPNHDAQ","Marching & Athletic Bands"
"10982","GVYAMSNA","Philosophy Department"
"10984","CJOGRFQ","Political Science Department"
"10985","CJOGRFQ",
"10986","CBIHJRCYWWAA","Psychology"
"10987","HDGNJKR","Sociology"
"10988","XLNMOIUW","Spanish & Portuguese Studies"
"10989","GCVMRBVURQ","Speech-Language-Hearg Sci Dept"
"10990","GCVMRBVURQ","Speech-Lang-Hearing Clinic"
"10991","KORYSQOANBQ","Statistics, School of"
"10992","VMVLDDKZBA","Theatre Arts & Dance Dept"
"10993","VMVLDDKZBA","University Theatre"
"10994","YXGGRREFMMUA","Writing Studies Department"
"10995","YXGGRREFMMUA","Writing, Center for"
"10996","HBBQGIFMSWBDJA","Philosophy of Science, Ctr for"
"10997","XAJTWOFCA","Minnesota Population Center"
"10998","HBBQGIFMSWBDJA","Immigration Hist Research Ctr"
"10999","KLIXTAAXSSA","Cognitive Sciences, Center for"
"11000","PHGANTZAJHQ","Advanced Study, Institute for"
"11001","HBBQGIFMSWBDJA",
"11002","HBBQGIFMSWBDJA",
"11003","HBBQGIFMSWBDJA","Austrian Studies, Center for"
"11004","TRHOTGGZAQA","CFANS Administration"
"11005","TRHOTGGZAQA","CFANS Finance & Budget"
"11006","TRHOTGGZAQA","CFANS Human Resources"
"11007","TRHOTGGZAQA","CFANS Information Technology"
"11008","TRHOTGGZAQA","CFANS Diversity & Inclusion"
"11009","TRHOTGGZAQA","CFANS Alumni Relations"
"11010","TRHOTGGZAQA","CFANS Communications"
"11011","TRHOTGGZAQA","CFANS Development"
"11012","TRHOTGGZAQA","CFANS SSO Administration"
"11013","TRHOTGGZAQA","CFANS Admissions"
"11014","TRHOTGGZAQA",
"11016","TRHOTGGZAQA","CFANS Graduate Programs"
"11017","TRHOTGGZAQA","International Programs, CFANS"
"11018","MNNPOSCTA","Ag, Food & Env Educ, Div of"
"11019","TRHOTGGZAQA","MN Ag Ed Leadership Council"
"11020","WKQJSXVXXLS","Rural Design, Ctr for"
"11022","BLKZLWUWMFHFOA","Entomology, Dept of"
"11023","NFWLVHMGRA","Fish Wildlife & Cons Bio, Dept"
"11024","IKTNYTRWSA","Forest Resources, Dept of"
"11025","LBMLRSHGYH","Soil, Water & Climate, Dept of"
"11026","GZSFOYWMMDTBQ","Food Sci & Nutr, Dept of"
"11027","NMSBAGX","Animal Science, Dept of"
"11028","BLWZCGA","Agron&Plant Genetics, Dept of"
"11029","BLWZCGA","MN Inst Sustainable Agric"
"11030","AJPAUKII","Horticultural Sci, Dept of"
"11031","HLETYGZF","Plant Pathology, Dept of"
"11032","BIPTHQRCQ","Bioprod&Biosys Eng, Dept of"
"11033","HXKKAKNMLP","Applied Economics, Dept of"
"11034","HXKKAKNMLP","Farm Financial Mgmt, Ctr for"
"11036","WKQJSXVXXLS","West Central ROC, Morris"
"11037","WKQJSXVXXLS","Sand Plains Research Farm"
"11038","WKQJSXVXXLS","Northwest ROC, Crookston"
"11039","WKQJSXVXXLS","No Central ROC, Grand Rapids"
"11040","WKQJSXVXXLS","Southern ROC, Waseca"
"11041","WKQJSXVXXLS","Southwest ROC, Lamberton"
"11042","WKQJSXVXXLS","Rosemount ROC"
"11043","WKQJSXVXXLS","Cloquet Forestry Center"
"11044","XLQHLYMGVE","Bell Administration"
"11045","XLQHLYMGVE","Bell Research Collection/Acad"
"11046","XLQHLYMGVE","Bell External Relations/Devel"
"11047","XLQHLYMGVE","Bell Public Programs"
"11048","BKNWGPPBO","Arboretum Dev & Communications"
"11049","BKNWGPPBO","Arboretum Educational Programs"
"11050","BKNWGPPBO","Arboretum Operations"
"11051","BKNWGPPBO","Arboretum Research"
"11052","BKNWGPPBO","Arboretum Exhibits"
"11053","WKQJSXVXXLS","Healthy Foods, Healthy Lives"
"11054","ANFPFLZUQ","Water Resources Center"
"11055","MVAANYLJYF","CSENG Dean's Office Admin"
"11057","MVAANYLJYF","CSENG Student Services Admin"
"11058","MVAANYLJYF","CSENG CSE-IT"
"11062","GBHAMJRQFCLB","MN Supercomputing Inst Admin"
"11066","SOTITWQGTZQ","CSENG Charles Babbage Inst"
"11067","SOTITWQGTZQ","CSENG MN Geological Survey Adm"
"11068","SOTITWQGTZQ","CSENG MN Geologicl Survey Maps"
"11069","SOTITWQGTZQ","CSENG Characterization Fac Adm"
"11070","SOTITWQGTZQ","CSENG Electron Microscope Fac"
"11071","SOTITWQGTZQ","CSENG Math & It's Applic, Inst"
"11072","SOTITWQGTZQ","CSENG MN Nano Center"
"11073","SOTITWQGTZQ",
"11074","SOTITWQGTZQ","CSENG Technological Leadership"
"11078","SOTITWQGTZQ","CSENG UNITE Administration"
"11079","SOTITWQGTZQ","CSENG UNITE Technical Ops"
"11080","SOTITWQGTZQ","CSENG UNITE Services"
"11081","SOTITWQGTZQ","CSENG Mathematics Ctr Ed Prgm"
"11082","SOTITWQGTZQ","CSENG UMTYMP"
"11083","SOTITWQGTZQ","CSENG Mat Res Sci&EngCtr MRSEC"
"11084","MVAANYLJYF","CSENG IPRIME Administration"
"11085","SOTITWQGTZQ","CSENG DTC Admin"
"11090","FUOWOFJKFTQ","CSENG Aerospace Eng & Mech Adm"
"11092","SOTITWQGTZQ","CSENG Astrophysics,MN Inst for"
"11093","OTQFKMQEJM","CSENG Chem Eng & Mat Sci Admin"
"11098","RURKAVA","CSENG Chemistry Administration"
"11101","CXEENAPIHECPQ","CSENG Civil, Envrn & Geo- Eng"
"11102","CXEENAPIHECPQ","CSENG Environmental Eng"
"11103","CXEENAPIHECPQ","CSENG Geomechanics"
"11104","CXEENAPIHECPQ","CSENG Structural Engineering"
"11105","CXEENAPIHECPQ","CSENG Transportation Eng"
"11106","CXEENAPIHECPQ","CSENG Water Resources Eng"
"11107","SOTITWQGTZQ","CSENG St Anth Falls Lab-SAFL"
"11108","YWGQGROEHP","CSENG CS&E Administration"
"11110","LIDFKPVEGG","CSENG CS&E Arch & Compiler"
"11111","LIDFKPVEGG","CSENG CS&E Bioinformtc&CompBio"
"11112","LIDFKPVEGG","CSENG CS&E Data Mining Db/GIS"
"11113","LIDFKPVEGG","CSENG CS&E Graphics&Visualiztn"
"11114","LIDFKPVEGG","CSENG CS&E HighPerformnceComp"
"11115","LIDFKPVEGG","CSENG CS&E HumanCompInteractn"
"11116","YWGQGROEHP",
"11117","LIDFKPVEGG","CSENG CS&E Robotics & Al"
"11118","LIDFKPVEGG","CSENG CS&E SoftwareEng&ProgLan"
"11119","LIDFKPVEGG","CSENG CS&E Theoretical Fndtn"
"11122","LGKNDITA","CSENG ECE Admin"
"11124","LGKNDITA","CSENG ECE Communications"
"11125","LGKNDITA","CSENG ECE Computer Engineering"
"11126","LGKNDITA",
"11127","LGKNDITA","CSENG ECE Energy"
"11128","LGKNDITA","CSENG ECE Fields & Photonics"
"11129","LGKNDITA","CSENG ECE Microelectronics"
"11130","IHRBIHRB","CSENG Earth Sciences, Dept of"
"11133","HCPXSHCIA","CSENG Mathematics Admin"
"11134","HCPXSHCIA","CSENG Masters of Financl Math"
"11135","FFYAOYMNYX","CSENG Mech Engineering Admin"
"11136","FFYAOYMNYX","CSENG ME Design & Manufacturng"
"11137","FFYAOYMNYX","CSENG ME Thermal Sciences"
"11138","GCFMWBQ","CSENG Industrial & Systems Eng"
"11139","FFYAOYMNYX","CSENG Compact & Effic FluidPwr"
"11140","EOGBVRFLJD","CSENG Physics & Astron,Schl of"
"11141","SOTITWQGTZQ",
"11142","OOWZTA","CSENG Hist of Sci & Tech, Prog"
"11143","HMHPGCBVTZRRE","CSENG Biomedical Eng Admin"
"11145","JQGMBDOEYA","Sr Vice President Health Sci"
"11146","JQGMBDOEYA","AHC Admin Support Services"
"11147","JQGMBDOEYA","AHC Human Resources"
"11148","JQGMBDOEYA","AHC Admin Info Systems"
"11149","JQGMBDOEYA","AHC Facilities Management"
"11150","JQGMBDOEYA","AHC Classroom Management"
"11151","JQGMBDOEYA","AHC Research Building Svcs"
"11152","JQGMBDOEYA","Privacy & Security, Office of"
"11153","JQGMBDOEYA","AHC Communications"
"11154","JQGMBDOEYA","AHC Finance, Office of"
"11155","JQGMBDOEYA","AHC Legal"
"11156","JQGMBDOEYA","Emergency Response, Office of"
"11157","JQGMBDOEYA","AHC Asst VP for Education"
"11158","JQGMBDOEYA",
"11159","JQGMBDOEYA","AHC Health Careers Center"
"11160","JQGMBDOEYA","AHC Asst VP of Research"
"11162","YWWOKSM","SPH Dean's Office"
"11163","YWWOKSM","SPH Advancement"
"11164","AUNLTGA","SPH Rothenberger Institute"
"11165","YWWOKSM","SPH Student Svc Adm"
"11168","YWWOKSM","SPH CPHEO Admin"
"11169","JWAEAVRQKYQ","SPH Public Health Practice"
"11171","TELNBGA","SPH Biostatistics Division"
"11172","TELNBGA","SPH Biostat Computer Svcs Ctr"
"11173","WZOMQIGWBUIAHA","SPH EnHS Division"
"11174","WZOMQIGWBUIAHA","SPH MN Technical Assist Prog"
"11175","WZOMQIGWBUIAHA","SPH Health Studies"
"11176","AUNLTGA","SPH EpiCH Division"
"11177","AUNLTGA","SPH EpiCH Nutrition Coding Ctr"
"11179","PIXEZPPAPIRGQ","SPH Health Policy & Mgmt Div"
"11182","ESMOCHKO","CEHD Dean's Office Admin"
"11184","ESMOCHKO","CEHD External Relations"
"11186","ESMOCHKO","Teacher Education, Office of"
"11187","ESMOCHKO","CEHD Human Resources"
"11188","ESMOCHKO","CEHD Facilities"
"11189","ESMOCHKO","CEHD Financial Services Office"
"11191","ESMOCHKO","CEHD Technology"
"11192","WDQMICGM","CEHD Student Services"
"11195","ESMOCHKO","TRIO Programs"
"11196","WDQMICGM","Multiple Pathways to Teaching"
"11197","EQVRBLUQ","Curriculum & Instruction Admin"
"11207","ZXGEOSMA","Org Leadership, Policy & Dev"
"11211","XFONYPYD","Ed Psych Administration"
"11217","RQHKJLUF","FSoS Administration"
"11219","LBZUCPBF","Child Development Admin, Inst"
"11222","BAABQABKMA","Kinesiology Administration"
